degree_names,languages,matched_score,institution_count,max_passing_year,gpa,min_experience_requirement,min_age_requirement,extra_curricular,certification,major1_mapped,major2_mapped,job1,job2,job3
Master,,0.3,2,2005,,5.0,24.0,0,1,Computer Science,Electrical Engineering,,Software Certification Analyst,Project Coordinator
Bachelor,,0.85,1,,3.4,1.0,25.0,0,0,Design Technology,Undeclared,Engineering Technician,Material Handler,General Laborer
Bachelor,,0.85,2,,,5.0,24.0,0,1,Electrical Engineering,Computer Science,Systems Engineer,,Software Engineer
Bachelor,,0.35,1,2020,,15.0,52.0,1,0,Computer Science,Undeclared,Computer Vision Engineer,,
Bachelor,,0.816666667,1,2000,,,22.0,0,0,Electrical Engineering,Undeclared,Engineering Technician,Manufacturing Technician,Electronic Technician
Bachelor,,0.8266666666666667,2,2014,,1.0,,1,0,Business Administration,Business Administration,Accountant,,
Bachelor,,0.816666667,1,2019,,,,1,0,Undeclared,Undeclared,Intern,,
Bachelor,,0.85,2,,,4.0,,0,1,Electrical Engineering,Computer Science,Systems Engineer,,Software Engineer
Bachelor,,0.683333333,1,2018,,3.0,25.0,0,1,Computer Science,Undeclared,Strategy Analyst,Data Scientist,
Bachelor,,0.65,1,,,3.0,,0,0,Accounting,Undeclared,Accountant,,Operation Consultant
Bachelor,,0.416666667,1,2020,,1.0,22.0,1,0,Computer Science,Undeclared,Computer Vision Engineer,,
Bachelor,,0.416666667,0,,,1.0,22.0,0,0,Undeclared,Undeclared,Facilities Engineer,Field Engineer,Plant Engineer
Bachelor,,0.55,1,2021,3.4,1.0,22.0,0,0,Computer Science,Undeclared,Technician,Research Assistant,
Bachelor,,0.55,4,2015,,,18.0,0,0,Food Science,Business Administration,Engineer,Electrical Superintendent,Project Manager
Bachelor,,0.65,1,2019,,3.0,,0,0,Electrical Engineering,Undeclared,Medical Analyst,Data Engineer,
Bachelor,,0.65,1,2015,,2.0,,0,0,Computer Science,Undeclared,Computer Engineer,Systems Administrator,Help Desk Technician
Master,,0.4166666666666667,3,,4.0,5.0,,1,1,Education,Economics,Accountant,District Administrative Manager,Business Manager
Bachelor,,0.35,0,,,1.0,,0,0,Undeclared,Undeclared,Facilities Engineer,Field Engineer,Plant Engineer
Bachelor,,0.716666667,1,2020,,1.0,,0,1,Statistics,Undeclared,Analyst,,
Bachelor,,0.35,2,2014,,1.0,22.0,0,0,Undeclared,Undeclared,Engineer,Receptionist,
Bachelor,,0.683333333,1,2020,,,22.0,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.35,1,2018,,5.0,24.0,1,0,Mechanical Engineering,Undeclared,,,
Master,,0.65,2,,,1.0,,0,0,Computer Science,Electrical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.62,1,2020,,2.0,,0,0,Civil Engineering,Undeclared,Intern,,
Master,,0.65,2,2020,,3.0,,0,0,Management,Information Technology,Business Analyst,,
Bachelor,,0.283333333,1,2019,,5.0,30.0,1,0,Electrical Engineering,Undeclared,Intern,Engineer,
Bachelor,,0.416666667,1,2020,,5.0,30.0,1,0,Electrical Engineering,Undeclared,Systems Engineer,,
Bachelor,,0.65,3,2023,0.4,4.0,,1,1,Electrical Engineering,Undeclared,Intern,Intern,
Bachelor,,0.65,2,,,4.0,,0,0,Accounting,Accounting,Accountant,,
Bachelor,Spanish,0.65,2,1997,,3.0,,0,0,Undeclared,Business Administration,Project Manager,Project Coordinator,Environmental Secretary
Bachelor,,0.65,1,2020,,1.0,25.0,1,0,Mechanical Engineering,Undeclared,Business Analyst,,
Bachelor,,0.783333333,1,1996,3.5,4.0,,0,1,Undeclared,Undeclared,Engineering Planning Manager,Manufacturing Project Engineer,Production Planner
Master,,0.5833333333333334,2,,,1.0,,0,0,Undeclared,Finance,Manager,Finance Manager,
Master,,0.64,2,2006,,5.0,30.0,0,0,Finance,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.85,1,2019,,1.0,25.0,1,0,Undeclared,Undeclared,Others,,
Bachelor,,0.683333333,1,2019,,3.0,40.0,1,0,Electrical Engineering,Undeclared,Engineer,,
Master,Urdu,0.85,2,2020,,3.0,,1,0,Computer Science,Undeclared,Student Ambassador,Tutor,Sales Representative
Bachelor,,0.8166666666666668,1,2010,,1.0,25.0,0,1,Finance,Undeclared,,Accountant,
Bachelor,,0.76,1,2019,,5.0,25.0,0,1,Electrical Engineering,Undeclared,,,
Bachelor,,0.346666667,1,2019,,15.0,52.0,0,0,Undeclared,Undeclared,Data Engineer,,
Bachelor,,0.683333333,1,2021,,3.0,,1,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.75,1,2020,,1.0,,1,0,Electrical Engineering,Undeclared,Data Engineer,,
Bachelor,,0.683333333,1,,3.98,5.0,30.0,0,0,Computer Science,Undeclared,Teaching Assistant,,
Bachelor,,0.55,1,2013,,1.0,25.0,0,1,General Engineering,Undeclared,Computer Vision Engineer,,Data Scientist
Bachelor,,0.683333333,1,2021,,5.0,28.0,1,0,Computer Science,Undeclared,Software Engineer,,
Bachelor,,0.556666667,1,2019,,1.0,22.0,1,0,Civil Engineering,Undeclared,Financial Analyst,,
Bachelor,,0.66,3,2023,0.4,3.0,25.0,1,1,Electrical Engineering,Undeclared,Intern,Intern,
Bachelor,,0.85,1,2019,,3.0,,1,0,Undeclared,Undeclared,Engineer,,
Bachelor,,0.3999999999999999,1,,,1.0,25.0,0,0,Communication,Undeclared,Buisness Developer,Consumer Analyst,Marketing Analyst
Bachelor,,0.35,1,2021,3.78,5.0,25.0,0,1,Computer Science,Undeclared,Tutor,,
Master,,0.546666667,2,2019,,15.0,52.0,1,0,Undeclared,Undeclared,Data Analyst,,
PhD,,0.85,3,2017,3.93,4.0,,0,0,Computer Science,Computer Science,Researcher,Research Assistant,Research Assistant
Bachelor,,0.466666667,1,2019,,1.0,,1,0,Undeclared,Undeclared,Intern,,
Bachelor,,0.85,1,2019,,,20.0,0,0,Undeclared,Undeclared,Blockchain Analyst,,
Bachelor,,0.85,1,2019,,2.0,25.0,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.75,1,2020,3.8,3.0,,0,0,Cybersecurity,Undeclared,Information Technology Specialist,Information Technology Specialist,
Bachelor,,0.85,1,2019,,,20.0,1,0,Information Technology,Undeclared,Software Engineer,,
Bachelor,,0.65,1,2014,3.82,5.0,,0,1,Civil Engineering,Undeclared,Engineer,Medical Receptionist,Teller
Bachelor,,0.85,1,,,5.0,25.0,0,0,Accounting,Undeclared,Accountant,,
Bachelor,,0.483333333,1,2020,,1.0,,1,0,Civil Engineering,Undeclared,Intern,,
Bachelor,,0.35,1,2020,,5.0,25.0,1,0,Computer Science,Undeclared,Python Developer,,
Bachelor,,0.35,1,2020,,2.0,25.0,1,1,Undeclared,Undeclared,Business Analyst,,
Bachelor,,0.85,1,2020,,5.0,,1,0,Information Technology,Undeclared,Data Analyst,,
Bachelor,,0.683333333,1,2018,,,22.0,0,0,Computer Science,Undeclared,Business Analyst,,
Master,,0.626666667,2,2019,,1.0,,1,0,Computer Science,Computer Science,Data Scientist,,
Bachelor,,0.483333333,1,2019,,,18.0,0,0,Information Technology,Undeclared,Data Analyst,,
Master,,0.66,2,,,1.0,,0,1,Computer Science,Electrical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.65,1,,,4.0,,1,1,Mechanical Engineering,Undeclared,Mechancial Engineer,System Engineer,
Master,,0.65,2,2020,,4.0,,0,1,Electrical Engineering,Artificial Intelligence,Development Engineer,,
Master,,0.65,2,2020,,3.0,,1,0,Undeclared,Data Analytics,Intern,,
Master,,0.736666667,2,,,3.0,,0,0,Industrial Engineering,Chemical Engineering,Engineer,Engineer,Chemical Engineer
Master,,0.643333333,2,2015,,1.0,,0,1,Computer Science,Computer Science,Instructor,Software Engineer,Software Engineer
Bachelor,,0.7833333333333333,1,,,5.0,30.0,0,0,Business Administration,Undeclared,Business Development Director,Marketing Analyst,Marketing Analyst
Master,,0.85,2,2008,3.67,5.0,25.0,0,0,Accounting,Accounting,Accountant,Accountant,Accountant
Bachelor,,0.716666667,1,,3.8,3.0,,1,0,Computer Science,Undeclared,Software Engineer,,
Bachelor,,0.453333333,1,2019,,1.0,,1,0,Electrical Engineering,Undeclared,Intern,Engineer,
Bachelor,,0.85,1,2020,,5.0,,0,0,Civil Engineering,Undeclared,Intern,,
Bachelor,,0.683333333,1,2019,,4.0,,1,0,Data Science,Undeclared,Data Scientist,,
Master,,0.65,2,2021,,,22.0,1,0,Computer Science,Data Science,Intern,,
Bachelor,,0.316666667,1,2020,,2.0,25.0,1,0,Information Technology,Undeclared,Others,,
Master,,0.85,3,2001,,15.0,52.0,0,0,Business Administration,Undeclared,Accountant,Corporate Tax Analyst,Accountant
Master,,0.4833333333333333,2,1,,5.0,,0,0,Accounting,Computer Science,Accountant,Accountant,Accountant
Bachelor,,0.65,1,2020,,,22.0,1,0,Electrical Engineering,Undeclared,Systems Engineer,,
Bachelor,,0.65,1,2021,,,18.0,1,0,Undeclared,Undeclared,Software Engineer,,
Bachelor,,0.65,1,2019,,1.0,,0,0,Mechanical Engineering,Undeclared,Design Engineer,,
Bachelor,,0.7833333333333333,2,2004,,,18.0,0,0,Accounting,Computer Science,Accountant,Financial Aid Accountant,Customer Care Consultant
Bachelor,,0.783333333,1,1990,,2.0,25.0,0,0,Electrical Engineering,Undeclared,Engineer,Engineer,Engineer
Master,,0.683333333,2,2020,,2.0,25.0,0,0,Management,Information Technology,Business Analyst,,
Bachelor,,0.583333333,1,1996,3.5,1.0,22.0,0,1,Undeclared,Undeclared,Engineering Planning Manager,Manufacturing Project Engineer,Production Planner
Bachelor,,0.65,11,,,,18.0,0,0,Undeclared,General Engineering,Engineer,Electrical Superintendent,Engineer
Bachelor,,0.716666667,1,2019,,5.0,,0,0,Electrical Engineering,Undeclared,,Analyst,
Bachelor,,0.816666667,1,,,15.0,52.0,0,0,Undeclared,Undeclared,,,
Master,,0.85,2,,,4.0,,0,0,Business Administration,Accounting,Accountant,Accountant,Church Administrator
Bachelor,,0.406666667,1,2019,,1.0,,0,1,Information Technology,Undeclared,Machine Learning Engineer,,
Bachelor,,0.783333333,2,2014,,5.0,25.0,0,1,Electrical Engineering,Electrical Engineering,Engineer,,
Bachelor,,0.76,1,2020,,3.0,25.0,0,0,Undeclared,Undeclared,Intern,,
Bachelor,,0.783333333,1,2019,,4.0,,0,0,Information Technology,Undeclared,Analyst,,
Bachelor,,0.716666667,1,2018,,5.0,28.0,1,0,Statistics,Undeclared,Automation Engineer,Data Engineer,
PhD,,0.14,3,2017,3.93,5.0,30.0,0,0,Computer Science,Computer Science,Researcher,Research Assistant,Research Assistant
Bachelor,,0.4666666666666666,1,,3.7,3.0,,0,0,Accounting,Undeclared,Accountant,Accountant,Revenue Cycle Analyst
Master,,0.85,2,2019,,3.0,,1,0,Economics,Economics,Finance Technology Expert,,
Master,,0.793333333,2,2005,,3.0,,0,0,Business Administration,Accounting,Accountant,Project Manager,Project Manager
Bachelor,,0.35,1,2021,,15.0,52.0,1,0,Electrical Engineering,Undeclared,Intern,,
Bachelor,,0.85,1,,3.84,3.0,,1,0,Computer Science,Undeclared,Blog Writer,Unix Systems Technician,
Bachelor,,0.416666667,3,,3.472,5.0,30.0,1,1,Undeclared,Chemical Engineering,Software Engineer,Software Engineer,Software Engineer
Master,,0.683333333,2,2019,,5.0,28.0,1,0,Computer Science,Computer Science,Data Scientist,,
Bachelor,,0.65,2,2019,,3.0,40.0,0,0,Undeclared,Data Analytics,Machine Learning Engineer,,
Bachelor,,0.58,1,2021,,1.0,,1,0,Electrical Engineering,Undeclared,Intern,,
Master,Hindi,0.71,2,,,15.0,52.0,0,0,Undeclared,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.716666667,1,2019,,5.0,,1,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.633333333,2,,,3.0,,1,0,Management,Civil Engineering,Engineering Technician,Engineering Technician,Engineering Technician
Bachelor,,0.483333333,1,2021,,5.0,28.0,1,0,Computer Science,Undeclared,Intern,Software Engineer,
Bachelor,,0.52,1,2020,,2.0,,0,1,Mechanical Engineering,Undeclared,Market Research Analyst,,
Bachelor,,0.726666667,1,2020,,4.0,,0,1,Electrical Engineering,Undeclared,,,
Bachelor,,0.35,1,2019,,2.0,25.0,0,0,Undeclared,Undeclared,Blockchain Analyst,,
Bachelor,,0.643333333,1,2018,,1.0,25.0,1,0,Mechanical Engineering,Undeclared,,,
Master,Spanish,0.6066666666666667,2,2014,,4.0,,0,1,Accounting,Business Administration,Accountant,,Administrator
Master,,0.736666667,2,2019,,5.0,25.0,1,0,Computer Science,Computer Science,,,
Bachelor,,0.85,1,2020,,5.0,,1,0,Chemical Sciences,Undeclared,Intern,,
Bachelor,,0.683333333,2,2019,,4.0,,0,0,Undeclared,Data Analytics,Machine Learning Engineer,,
Bachelor,,0.75,2,2016,3.85,1.0,,0,1,Accounting,Accounting,Accountant,Office Manager,Office Manager
Bachelor,,0.35,1,2020,,15.0,52.0,0,0,Undeclared,Undeclared,,,
Master,French,0.44,2,,,2.0,,0,0,Electrical Engineering,Electrical Engineering,Others,Others,Engineer
Bachelor,,0.3499999999999999,1,,,1.0,,0,0,General Studies,Undeclared,Business Development Consultant,,Sales Representative
Bachelor,,0.583333333,2,1991,3.1,1.0,22.0,0,0,Information Systems,Electrical Engineering,Engineer,,
PhD,,0.85,9,2014,,,,0,0,Undeclared,Undeclared,Engineer,Process Technician,Quality Engineer
Bachelor,,0.313333333,1,2018,3.01,1.0,22.0,0,0,Civil Engineering,Undeclared,Engineer,Field Engineer,Field Engineer
PhD,,0.826666667,4,2009,,1.0,25.0,0,0,Computer Science,Computer Science,Researcher,Research Assistant,Research Assistant
Master,,0.85,2,2017,,,22.0,0,1,Mechanical Engineering,Mechanical Engineering,,,Gearbox Designer
Bachelor,,0.816666667,2,2014,,1.0,25.0,0,1,Electrical Engineering,Electrical Engineering,Engineer,,
Bachelor,,0.85,1,2019,,3.0,,0,0,Materials Engineering,Undeclared,Intern,,
Master,,0.583333333,2,2019,,1.0,,0,0,Electrical Engineering,Data Science,Machine Learning Engineer,,
Bachelor,,0.716666667,2,1991,,5.0,,0,0,Electrical Engineering,Computer Science,Engineering Technician,Quality Assurance Specialist,
Bachelor,,0.573333333,0,,,5.0,30.0,0,0,Undeclared,Undeclared,,Nutrition Clerk,Manager
Bachelor,,0.824555333,2,2010,,1.0,25.0,0,1,Coaching,Business Administration,Business Development Director,Sales Manager,Account Manager
Bachelor,,0.65,1,2009,,3.0,,0,0,Accounting,Undeclared,Accountant,Customer Service Specialist,Store Manager
Bachelor,,0.803333333,0,,,4.0,,0,0,Undeclared,Undeclared,Facilities Engineer,Field Engineer,Plant Engineer
Master,,0.35,2,2019,,5.0,24.0,0,1,Chemical Engineering,Chemical Engineering,Research Assistant,,
Bachelor,,0.683333333,1,2025,3.1,5.0,28.0,1,1,Biological Sciences,Undeclared,Dining Room Attendant,Childcare Provider,
Bachelor,,0.65,1,2021,3.91,2.0,25.0,0,0,Computer Science,Undeclared,Mentor,Captain,
Bachelor,,0.716666667,1,2020,,2.0,25.0,1,0,Computer Science,Undeclared,,,
Master,,0.85,2,2019,,3.0,25.0,0,1,Chemical Engineering,Chemical Engineering,Research Assistant,,
Bachelor,,0.75,1,2006,3.73,3.0,,0,0,Electrical Engineering,Undeclared,Engineer,Electrical Design Engineer,Project Engineer
Bachelor,,0.683333333,1,2021,3.91,1.0,,0,0,Computer Science,Undeclared,Mentor,Captain,
Bachelor,Portuguese,0.383333333,1,2019,,15.0,52.0,1,0,Computer Science,Undeclared,Software Engineer,Software Engineer,
PhD,,0.75,3,,,4.0,,1,1,Information Systems,Information Systems,Project Manager,Founder,Manager
Bachelor,Arabic,0.6833333333333332,1,2010,,3.0,40.0,0,0,Accounting,Undeclared,Others,Others,Accountant
Bachelor,,0.65,1,,,2.0,,0,0,Computer Engineering,Undeclared,Buisness Engineer,Project Engineer,Operations Technician
Bachelor,,0.75,1,,,1.0,22.0,0,0,Business Administration,Undeclared,,Sales Representative,General Manager
Bachelor,,0.7600000000000001,1,2002,,5.0,,1,1,Accounting,Undeclared,Accountant,Accountant,Financial Analyst
Bachelor,,0.86,1,2005,,,18.0,0,0,Accounting,Undeclared,Accountant,Tax Accountant,Accountant
Master,,0.8033333333333333,2,,,1.0,25.0,0,0,Undeclared,Finance,Manager,Finance Manager,
Bachelor,,0.85,1,,,1.0,22.0,0,0,Communication,Undeclared,Project Manager,Project Manager,Ad Operations Coordinator
Bachelor,,0.85,1,1996,3.5,3.0,,0,1,Undeclared,Undeclared,Engineering Planning Manager,Manufacturing Project Engineer,Production Planner
Bachelor,,0.45,1,2020,,5.0,24.0,0,0,Information Technology,Undeclared,Intern,,
Bachelor,,0.75,1,2000,,1.0,25.0,0,0,Electrical Engineering,Undeclared,Engineering Technician,Manufacturing Technician,Electronic Technician
Master,,0.85,2,,3.5,5.0,,0,0,Industrial Engineering,Industrial Engineering,Industrial Engineer,Engineer,Intern
Master,,0.616666667,2,2021,,2.0,,1,0,Computer Science,Data Science,Intern,,
Bachelor,,0.383333333,1,2019,,,18.0,0,1,Electrical Engineering,Undeclared,Data Engineer,,
Bachelor,,0.65,1,2019,,2.0,25.0,0,0,Mechanical Engineering,Undeclared,Design Engineer,,
Master,,0.4166666666666667,3,2015,,5.0,24.0,0,0,Accounting,Finance,,Accountant,Accounting Clerk
Master,,0.783333,3,2011,,,,1,1,Mechanical Engineering,Business Administration,Director,,Vice President
Master,,0.783333333,2,2019,,,,1,0,Computer Science,Computer Science,,,
Bachelor,,0.85,1,2020,,5.0,,1,0,Electrical Engineering,Undeclared,Data Engineer,,
Bachelor,,0.516666667,1,2018,3.8,1.0,,0,0,Computer Science,Undeclared,Computer Scientist,Machine Learning Engineer,IT Technician
Master,,0.85,2,2019,,2.0,25.0,1,0,Computer Science,Computer Science,Data Scientist,,
Master,,0.75,3,,,4.0,,0,1,Finance,Business Administration,Business Development Director,Athletic Coordinator,Patient Relations Specialist
Bachelor,,0.206666667,4,2015,,1.0,22.0,0,0,Food Science,Business Administration,Engineer,Electrical Superintendent,Project Manager
Bachelor,,0.7166666666666667,2,,,2.0,,1,0,Education,Undeclared,Business Development Director,Consultant,Relocation Consultant
Bachelor,,0.683333333,1,,,1.0,,0,0,Business Administration,Undeclared,Business Development Director,Student Loan Consultant,Territory Sales Manager
Bachelor,,0.473333333,1,2020,,1.0,22.0,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Master,,0.5499999999999999,2,,,1.0,22.0,1,1,Accounting,Accounting,Accountant,Accounting Assistant,Stock Clerk
PhD,Japanese,0.2,3,2023,,1.0,22.0,0,0,Computer Science,Computer Science,Researcher,Software Engineer,Machine Learning Engineer
Master,,0.85,2,,,2.0,25.0,0,0,Industrial Engineering,Chemical Engineering,Engineer,Engineer,Chemical Engineer
Bachelor,,0.85,1,2020,,3.0,25.0,0,1,Statistics,Undeclared,Analyst,,
Master,Mandarin,0.6,2,2010,,5.0,30.0,0,0,Accounting,Accounting,Financial Accountant,Accountant,Accountant
Master,,0.85,3,2016,,5.0,28.0,0,0,Electrical Engineering,Electrical Engineering,Engineer,Engineer,Software Engineer
Bachelor,,0.7833333333333333,2,1996,,1.0,25.0,0,0,Undeclared,General Studies,Buisness Developer,Service Manager,System Technology Specialist
Bachelor,,0.683333333,1,2020,,2.0,,1,0,Information Technology,Undeclared,Research Assistant,,
Bachelor,,0.65,1,2021,,,20.0,0,1,Computer Science,Undeclared,Analyst,,
Bachelor,,0.76,1,2021,,,20.0,1,0,Electrical Engineering,Undeclared,Systems Engineer,,
Master,,0.643333333,2,2019,,4.0,,1,0,Commerce,Data Science,Data Analyst,,
Bachelor,,0.8166666666666668,1,2005,,3.0,,0,0,Accounting,Undeclared,Accountant,Accountant,Accountant
PhD,,0.6,2,2019,,4.0,,0,0,Commerce,Data Science,Data Scientist,Data Scientist,
Bachelor,,0.85,1,,3.6,4.0,,0,1,Computer Science,Undeclared,Android Engineer,Android Engineer,
Bachelor,,0.416666667,1,2019,,1.0,22.0,1,0,Information Technology,Undeclared,Software Engineer,,
Bachelor,,0.55,1,1990,,,18.0,0,0,Electrical Engineering,Undeclared,Engineer,Engineer,Engineer
Bachelor,,0.45,1,2021,,5.0,30.0,1,0,Electrical Engineering,Undeclared,Intern,,
Bachelor,,0.613333333,1,2019,,1.0,22.0,1,0,Undeclared,Undeclared,,,
Bachelor,,0.85,1,,,4.0,,0,0,Computer Science,Undeclared,Customer Service Representative,Academic Resource Advisor,
PhD,,0.683333333,9,2014,,1.0,,0,0,Undeclared,Undeclared,Engineer,Process Technician,Quality Engineer
Bachelor,,0.35,1,2019,,5.0,24.0,0,1,Information Technology,Undeclared,Machine Learning Engineer,,
Bachelor,,0.5499999999999999,2,,,,,0,0,Accounting,Accounting,Accountant,,
Master,,0.5499999999999999,2,2008,3.67,1.0,,0,0,Accounting,Accounting,Accountant,Accountant,Accountant
Bachelor,,0.693333333,1,2019,,3.0,25.0,0,0,Undeclared,Undeclared,Data Engineer,,
Bachelor,,0.493333333,1,2020,,5.0,25.0,1,0,Computer Science,Undeclared,Intern,,
Bachelor,,0.516666667,0,,,,20.0,0,0,Undeclared,Undeclared,Facilities Engineer,Field Engineer,Plant Engineer
Master,,0.85,2,2020,,3.0,,0,1,Electrical Engineering,Artificial Intelligence,Development Engineer,,
Bachelor,,0.716666667,1,2019,,,,0,0,Electrical Engineering,Undeclared,,Analyst,
Bachelor,,0.683333333,1,2018,,2.0,,0,0,Computer Science,Undeclared,Business Analyst,,
Bachelor,,0.683333333,1,2019,,5.0,,0,1,Computer Engineering,Undeclared,,,
Bachelor,,0.816666667,1,,,5.0,28.0,0,0,Business Administration,Undeclared,Business Development Director,Student Loan Consultant,Territory Sales Manager
Bachelor,,0.85,1,2020,,5.0,,1,0,Computer Science,Undeclared,Intern,,
Master,,0.7933333333333333,2,2008,3.67,4.0,,0,0,Accounting,Accounting,Accountant,Accountant,Accountant
Bachelor,,0.7933333333333333,1,2008,,,18.0,0,0,Computer Science,Undeclared,Accountant,Accounts Receivable Clerk,Mortgage Underwriter
Master,,0.783333333,2,2019,,5.0,28.0,1,0,Undeclared,Undeclared,Researcher,,
Bachelor,,0.8933333333333332,1,,3.7,,18.0,0,0,Accounting,Undeclared,Accountant,Accountant,Revenue Cycle Analyst
Bachelor,,0.623333333,1,2020,,4.0,,1,0,Computer Science,Undeclared,Python Developer,,
Bachelor,,0.716666667,2,2020,3.98,15.0,52.0,0,0,Undeclared,Undeclared,Engineering Office Clerk,Benefits Clerk,Sales Representative
Bachelor,,0.716666667,1,2020,,2.0,,0,1,Statistics,Undeclared,Analyst,,
Bachelor,,0.683333333,1,,,5.0,24.0,0,1,Undeclared,Undeclared,Software Engineer,,Administrator
PhD,French,0.5666666666666667,3,2014,,3.0,25.0,1,1,Pharmaceutical Studies,Undeclared,Business Development Director,Buisness Developer,Marketing Analyst
Bachelor,,0.65,1,2021,3.78,5.0,28.0,0,1,Computer Science,Undeclared,Tutor,,
PhD,,0.383333333,2,1980,,,20.0,0,0,Computer Science,Computer Science,Professor,Professor,
Bachelor,,0.493333333,2,2011,,1.0,,0,0,Electrical Engineering,General Studies,Engineering Lab Technician,Engineering Lab Technician,Assembly
Bachelor,,0.683333333,2,2019,,5.0,25.0,0,0,Undeclared,Data Analytics,Machine Learning Engineer,,
Bachelor,,0.5499999999999999,1,,,5.0,,0,0,Communication,Undeclared,Buisness Developer,Consumer Analyst,Marketing Analyst
Master,,0.483333333,2,2004,,1.0,22.0,0,0,Information Systems,Computer Science,Engineer,,
Bachelor,,0.85,1,2019,,4.0,,1,0,Information Technology,Undeclared,Software Engineer,,
Master,,0.62,2,2019,,,18.0,1,0,Materials Engineering,Undeclared,Researcher,,
Bachelor,,0.443333333,1,2019,,5.0,25.0,1,0,Electrical Engineering,Undeclared,Data Analyst,Software Engineer,
Bachelor,,0.45,1,2020,,5.0,,1,0,Electrical Engineering,Undeclared,System Engineer Analyst,,
Bachelor,,0.626666667,1,2019,,3.0,,1,0,Electrical Engineering,Undeclared,Analyst,,
Master,,0.85,2,,,3.0,,0,0,Business Administration,Accounting,Accountant,Accountant,Church Administrator
Bachelor,,0.816666667,1,,,,22.0,0,0,Mechanical Engineering,Undeclared,Engineer,,Reliability Engineer
Bachelor,,0.65,1,2014,3.82,1.0,25.0,0,1,Civil Engineering,Undeclared,Engineer,Medical Receptionist,Teller
Master,,0.85,3,1984,,3.0,25.0,0,1,Undeclared,Undeclared,Buisness Developer,,Quality Engineering Analyst
Bachelor,,0.85,2,,,3.0,,0,1,Electrical Engineering,Computer Science,Systems Engineer,,Software Engineer
Master,Spanish,0.33,2,2008,,5.0,24.0,0,0,Business Administration,Finance,Accountant,Accountant,Accountant
Master,,0.7833333333333333,2,2006,,3.0,25.0,0,0,Finance,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.45,1,2020,,1.0,,0,0,Information Technology,Undeclared,Intern,,
Bachelor,,0.466666667,11,,,3.0,,0,0,Undeclared,General Engineering,Engineer,Electrical Superintendent,Engineer
Bachelor,,0.65,1,2019,,4.0,,1,0,Civil Engineering,Undeclared,Financial Analyst,,
Master,,0.65,2,2019,,5.0,28.0,1,0,Electrical Engineering,Electrical Engineering,Product Engineer,,
Master,,0.7166666666666667,3,2015,,1.0,25.0,0,0,Accounting,Finance,,Accountant,Accounting Clerk
Bachelor,,0.583333333,1,2019,,1.0,25.0,0,0,Materials Engineering,Undeclared,Intern,,
Bachelor,,0.7266666666666666,2,2016,3.85,,22.0,0,1,Accounting,Accounting,Accountant,Office Manager,Office Manager
Master,,0.816666,3,2011,,3.0,,1,1,Mechanical Engineering,Business Administration,Director,,Vice President
Master,,0.5,3,2011,,3.0,,1,1,Mechanical Engineering,Business Administration,Director,,Vice President
Bachelor,Spanish,0.7166666666666667,1,,,5.0,,0,0,General Studies,Undeclared,Business Development Director,,Admissions Director
Master,,0.45,3,2015,,1.0,22.0,0,1,Undeclared,Aerospace Engineering,,Field Engineer,Aircraft Engineer
Master,,0.6,2,2020,,1.0,,0,1,Computer Science,Undeclared,Analyst,,
Bachelor,,0.333333333,1,2020,,5.0,24.0,1,0,Computer Science,Undeclared,Python Developer,,
Bachelor,,0.77,2,,,4.0,,0,0,General Studies,Architecture,Accountant,,Owner
Master,,0.85,3,2015,,1.0,,0,0,Accounting,Finance,,Accountant,Accounting Clerk
Bachelor,,0.6833333333333332,2,2014,,,22.0,1,0,Business Administration,Business Administration,Accountant,,
Bachelor,,0.793333333,2,1995,,4.0,,0,0,Electrical Engineering,Undeclared,Engineering Specialist,Industrial Electrician,Operator
Bachelor,,0.8166666666666668,2,,,3.0,,0,0,Accounting,Accounting,Accountant,,
Master,,0.7166666666666667,3,1984,,4.0,,0,1,Undeclared,Undeclared,Buisness Developer,,Quality Engineering Analyst
Master,,0.693333333,2,2007,,,22.0,0,0,Decision Science,Applied Mathematics,Tutor,Tutor,Teaching Assistant
Bachelor,,0.553333333,1,,,3.0,,0,0,Computer Science,Undeclared,,,
Master,,0.8266666666666667,2,2008,2.84,5.0,,0,0,Computer Science,Natural Sciences,Business Development Director,Sales Representative,Business Development Director
Bachelor,,0.85,1,2019,,4.0,,0,0,Electrical Engineering,Undeclared,Machine Learning Engineer,,
Bachelor,,0.716666667,1,2019,,3.0,,1,0,Undeclared,Undeclared,Others,,
Bachelor,,0.3,1,2019,,5.0,30.0,1,0,Information Technology,Undeclared,Software Engineer,,
Bachelor,,0.35,1,2019,,5.0,24.0,1,0,Computer Science,Undeclared,Intern,,
Master,,0.5166666666666667,2,,,,20.0,0,0,Undeclared,Finance,Manager,Finance Manager,
