,Course Code,Course Title,Description
2192,CY PLAN 291,Special Projects Studio in Planning,Studio on special projects in planning. Topics vary by semester. Special Projects Studio in Planning
2193,CY PLAN 293,Capstone Writing Workshop,"This workshop is designed for Masters students in the Department of City & Regional Planning who are working on their professional report, client report, or thesis. Capstone Writing Workshop"
2194,CY PLAN 295,Supervised Research in City and Regional Planning,"Supervised experience on a research project in urban or regional planning. Any combination of 295, 297 courses may be taken for a total of 6 units maximum towards the M.C.P. degree. Supervised Research in City and Regional Planning"
2195,CY PLAN 297,Supervised Field Study in City and Regional Planning,"Supervised experience relative to specific aspects of practice in city or regional planning. Any combination of 295, 297 courses may be taken for a total of 6 units maximum toward the M.C.P. degree. A maximum of 3 units of 297 can be used for degree requirements. Supervised Field Study in City and Regional Planning"
2196,CY PLAN 298,Group Studies,Topics to be announced at beginning of each semester. No more than 3 units may be taken in one section. Group Studies
2197,CY PLAN 299,Individual Study or Research,"Individual study or research program; must be worked out with instructor in advance of signing up for credits. Maximum number of individual study units (295, 297, 299) counted toward the M.C.P. degree credits is 9. Individual Study or Research"
2198,CY PLAN N299,Individual Study or Research,10 Week Session Individual study or research program; must be worked out with instructor in advance of signing up for credits. Maximum number of individual study credits counted toward the MCP degree is 9. Individual Study or Research
2199,CY PLAN 375,Supervised Teaching in City and Regional Planning,Supervised teaching experience in courses related to planning. Course may not be applied toward the M.C.P. degree. Supervised Teaching in City and Regional Planning
2200,CY PLAN 399,Supervised Teaching,Professional courses for prospective teachers Supervised Teaching
2201,CY PLAN 602,Individual Study for Doctoral Students,"Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree. Students may earn 1-8 units of 602 per semester or 1-4 units per summer session. No student may accumulate more than a total of 16 units of 602. Individual Study for Doctoral Students"
2202,CIV ENG 11,Engineered Systems and Sustainability,"An introduction to key engineered systems (e.g., energy, water supply, buildings, transportation) and their environmental impacts. Basic principles of environmental science needed to understand natural processes as they are influenced by human activities. Overview of concepts and methods of sustainability analysis. Critical evaluation of engineering approaches to address sustainability. Engineered Systems and Sustainability"
2203,CIV ENG 24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Freshman Seminars"
2204,CIV ENG C30,Introduction to Solid Mechanics,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams. Introduction to Solid Mechanics"
2205,CIV ENG W30,Introduction to Solid Mechanics,"8 Week Session A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams. Introduction to Solid Mechanics"
2206,CIV ENG 60,Structure and Properties of Civil Engineering Materials,"Introduction to structure and properties of civil engineering materials such as asphalt, cements, concrete, geological materials (e.g. soil and rocks), steel, polymers, and wood. The properties range from elastic, plastic and fracture properties to porosity and thermal and environmental responses. Laboratory tests include evaluation of behavior of these materials under a wide range of conditions. Structure and Properties of Civil Engineering Materials"
2207,CIV ENG 70,Engineering Geology,Principles of physical and structural geology; the influence of geological factors on engineering works and the environment. Field trip. Engineering Geology
2208,CIV ENG 88B,Time Series Analysis: Sea Level Rise and Coastal Flooding,"In this course, we will pursue analysis of long-term records of coastal water levels in the context of sea level rise. We will cover the collection, evaluation, visualization and analysis of time series data using long-term records of sea levels from coastal sites around the world. Specific topics will include extreme events and distributions, frequency-based descriptions, averaging, filtering, harmonic analysis, trend identification, extrapolations, and decision-making under uncertainty. Time Series Analysis: Sea Level Rise and Coastal Flooding"
2209,CIV ENG C88,Data Science for Smart Cities,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient, and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build demand- and supply-side urban services based on data analytics. Data Science for Smart Cities"
2210,CIV ENG 92,Introduction to Civil and Environmental Engineering,A course designed to familiarize the entering student with the nature and scope of civil and environmental engineering and its component specialty areas. Introduction to Civil and Environmental Engineering
2211,CIV ENG 92A,Design for Future Infrastructure Systems,"Hands-on engineering design experience for creating future infrastructure systems. Intelligent infrastructure systems leverage data and computational to enhance sustainability and resilience for smart cities of the future. Student teams identify a challenge with current transportation, energy, water, waste, and/or the built infrastructure. Student teams design and prototype an innovation that solves this problem using maker resources, e.g. 3D printing, laser cutters, and open-source electronics. The project will be executing via the ""Design Sprint"" process, which is popular in agile development and Silicon Valley. Students present projects to guest judges from industry. Course is an introductory design experience for first-year students. Design for Future Infrastructure Systems"
2212,CIV ENG 92B,Cornerstone Structural Design,"This course introduces students to conceptual structural design, fabrication, and testing. The course aims to provide a hands-on structural engineering design experience and to inspire creativity. Students will learn the design process as well as fundamental principles of structural analysis. Student teams will be given a design challenge with performance objectives and practical constraints that emphasize sustainable design practices. Student teams will use maker space resources (e.g. 3D printing, laser cutting, CNC router, woodshop) to fabricate their structures, which will be tested to failure in the Structural Engineering Lab in Davis Hall. Cornerstone Structural Design"
2213,CIV ENG 93,Engineering Data Analysis,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Use of computer programming languages for analysis of CEE-related data and problems. The course also introduces the student to various domains of uncertainty analysis in CEE. Engineering Data Analysis
2214,CIV ENG 98,Supervised Group Study and Research,Supervised group study and research by lower division students. Supervised Group Study and Research
2215,CIV ENG 99,Supervised Independent Study and Research,Supervised independent study by lower division students. Supervised Independent Study and Research
2216,CIV ENG 100,Elementary Fluid Mechanics,"Fluid statics and dynamics, including laboratory experiments with technical reports. Fundamentals: integral and differential formulations of the conservation laws are solved in special cases such as boundary layers and pipe flow. Flow visualization and computation techniques are introduced using Matlab. Empirical equations are used for turbulent flows, drag, pumps, and open channels. Principles of empirical equations are also discussed: dimensional analysis, regression, and uncertainty. Elementary Fluid Mechanics"
2217,CIV ENG C103N,Terrestrial Hydrology,"A quantitative introduction to the hydrology of the terrestrial environment including lower atmosphere, watersheds, lakes, and streams. All aspects of the hydrologic cycle, including precipitation, infiltration, evapotranspiration, overland flow, streamflow, and groundwater flow. Chemistry and dating of groundwater and surface water. Development of quantitative insights through problem solving and use of simple models. This course requires one field experiment and several group computer lab assignments. Terrestrial Hydrology"
2218,CIV ENG 104,Planetary Boundaries and the Anthropocene,"This course aims to introduce students to the debates and discussions about the impact of increasing human resource consumption, increasing population, and increasing human prosperity on the planet’s environmental systems that support human societies. Planetary Boundaries and the Anthropocene"
2219,CIV ENG 105,Design for Global Transformation,"Student teams will design strategies to address critical global challenges, such as climate change, biodiversity loss, pollution, and related issues, with the potential for transformational change. Project topics will vary. Students will explore global to local scales using principles and practices from design science, systems thinking, regenerative design, circular economy, environmental justice, science communication, data visualization , and numerical modeling, among other disciplines. Design for Global Transformation"
2220,CIV ENG C106,Air Pollution,"This course is an introduction to air pollution and the chemistry of earth's atmosphere. We will focus on the fundamental natural processes controlling trace gas and aerosol concentrations in the atmosphere, and how anthropogenic activity has affected those processes at the local, regional, and global scales. Specific topics include stratospheric ozone depletion, increasing concentrations of green house gasses, smog, and changes in the oxidation capacity of the troposphere. Air Pollution"
2221,CIV ENG 107,Climate Change Mitigation,"Assessment of technological options for responding to climate change. Overview of climate-change science; sources, sinks, and atmospheric dynamics of greenhouse gases. Current systems for energy supply and use. Renewable energy resources, transport, storage, and transformation technologies. Technological opportunities for improving end-use energy efficiency. Recovery, sequestration, and disposal of greenhouse gases. Societal context for implementing engineered responses. Climate Change Mitigation"
2222,CIV ENG 108,Climate Change Adaptation,"In this course, we will examine the local manifestation of global climate change and consider interventions and responses that anticipate long-term change in communities. The course will integrate environmental sciences, civil and environmental engineering, and the social sciences to both understand the impacts of global change and to quantitatively evaluate possible adaptation interventions. Upon completing the course, you will have a holistic perspective on the challenges associated with climate change adaptation, an understanding of the wide range of potential solutions and interventions that may be possible, and an awareness of the strengths and weaknesses of those solutions. Climate Change Adaptation"
2223,CIV ENG 110,Water Systems of the Future,"This course will familiarize students with the complex infrastructure used to meet human water demands; competing uses and demands; water and wastewater infrastructure; technologies to enable recovery of water, energy, and other resources from wastewater; supply planning; trends and forecasting; costs, pricing and financing; environmental justice; methods to assess sustainability; regulatory, policy and institutional challenges; and water's contribution to other sectors (e.g., energy, food, buildings). Innovation, both barriers and opportunities, will be highlighted. California and the U.S. will be emphasized but global challenges will be discussed. Students will study, critique, and recommend improvements for a real-world system. Water Systems of the Future"
2224,CIV ENG 111,Environmental Engineering,"Quantitative overview of air and water contaminants and their engineering control. Elementary environmental chemistry and transport. Reactor models. Applications of fundamentals to selected current issues in water quality engineering, air quality engineering, air quality engineering, and hazardous waste management. Environmental Engineering"
2225,CIV ENG 111L,Water and Air Quality Laboratory,"This laboratory course is designed to accompany the lecture topics in Civil Engineering 111. Each laboratory activity will provide an opportunity to understand key concepts in water and air quality through hands-on experimentation. Laboratory topics include phase partitioning, acid/base reactions, redox reactions, biochemical oxygen demand, absorption, gas transfer, reactor hydraulics, particle destablization, disinfection, and combustion emis sions. Water and Air Quality Laboratory"
2226,CIV ENG 112,Water & Wastewater Systems Design and Operation,"Water and wastewater systems serving communities are complex, large, and were built and expanded over many decades. The infrastructure includes a network of reservoirs, pipelines, pump stations, treatment plants, and other facilities that are connected to natural systems such as watersheds, rivers, groundwater basins, and bay and ocean environments. The planning, design, operation, and maintenance of urban water and wastewater systems require balancing many factors including aging infrastructure, changing regulations, climate change, costs, and community impacts. One of the greatest challenges facing civil engineers in the 21st century is the stewardship of the infrastructure to protect public health and the environment. Existing systems r Water & Wastewater Systems Design and Operation"
2227,CIV ENG 113,Ecological Engineering for Water Quality Improvement,"Ecological engineering approaches for treating contaminated water using natural processes to improve water quality. Emphasis on combining basic science and engineering approaches to understand the fundamental processes that govern the effectiveness of complex natural treatment systems. Applications include constructed wetlands, waste stabilization ponds, stormwater bioretention, decentralized wastewater management, ecological sanitation. Laboratory sessions will consist of design and monitoring of laboratory and full-scale natural treatment systems, including a range of water quality measurements. Ecological Engineering for Water Quality Improvement"
2228,CIV ENG 114,Environmental Microbiology,"The scope of modern environmental engineering requires a fundamental knowledge of microbial processes with specific application to water, wastewater and the environmental fate of pollutants. This course will cover basic microbial physiology, biochemistry, metabolism, growth energetics and kinetics, ecology, pathogenicity, and genetics for application to both engineered and natural environmental systems. Environmental Microbiology"
2229,CIV ENG 115,Water Chemistry,"The application of principles of inorganic, physical, and dilute solution equilibrium chemistry to aquatic systems, both in the aquatic environment and in water and wastewater treatment processes. Water Chemistry"
2230,CIV ENG C116,Chemistry of Soils,Chemical mechanisms of reactions controlling the fate and mobility of nutrients and pollutants in soils. Role of soil minerals and humus in geochemical pathways of nutrient biovailability and pollutant detoxification. Chemical modeling of nutrient and pollutant soil chemistry. Applications to soil acidity and salinity. Chemistry of Soils
2231,CIV ENG 119,Data and Equity in Environmental Engineering,
2232,CIV ENG 120,Structural Engineering,"Introduction to design and analysis of structural systems. Loads and load placement. Proportioning of structural members in steel, reinforced concrete, and timber. Structural analysis theory. Hand and computer analysis methods, validation of results from computer analysis. Applications, including bridges, building frames, and long-span cable structures. Structural Engineering"
2233,CIV ENG 122,Design of Steel Structures,"A first course in steel design focusing on basic principles. Introduction to materials and methods of steel construction; behavior and design of tension members, compression members, flexural members and beam-columns; design of welds, bolts, shear connections, and moment connections. Includes laboratory sessions to illustrate member behavior. By the end of the course students should be able to design simple steel structures subjected to static gravity and lateral loads. Design teams will conceive, determine design loads, and conduct a preliminary and final design of a structural system and its foundation. Teams will prepare a report containing project description, design criteria, structural drawings, and supporting calculations. Design of Steel Structures"
2234,CIV ENG 123,Design of Reinforced Concrete Structures,"Introduction to materials and methods of reinforced concrete design and construction; behavior and design of reinforced concrete beams and one-way slabs considering deflections, moment, shear, and reinforcement development requirements; behavior and design of columns; design of spread footings; design of earthquake-resistant structures; laboratory sessions to illustrate member behavior, to solve problem sets, and to develop and present the preliminary designs for a design project. Design of Reinforced Concrete Structures"
2235,CIV ENG 124,Structural Design in Timber,"Characteristics and properties of wood as a structural material; design and detailing of structural elements and entire structures of wood. Topics include allowable stresses, design and detailing of solid sawn and glulam beams and columns, nailed and bolted connections, plywood diaphragms and shear walls. Case studies. Structural Design in Timber"
2236,CIV ENG 126,Engineering Dynamics and Vibrations,"Introduction to the dynamics of particles, rigid bodies, and deformable solids in civil engineering. Newtonian and Lagrangian formulations. Vibration of particles and rigid body systems: natural frequencies and mode shapes, free and forced vibration. Vibration of continuous systems: bars, strings, beams. Modeling and numerical simulation methods.. Engineering Dynamics and Vibrations"
2237,CIV ENG 132,Applied Structural Mechanics,"Concepts of theory of solid mechanics: three dimensional stress, strain, and material response; elastic and inelastic boundary value problems; fracture, fatigue, and geometric instability. Problems in advanced strength of materials; thin plate and axis-symmetric shell theory. Applied Structural Mechanics"
2238,CIV ENG C133,Engineering Analysis Using the Finite Element Method,"This is an introductory course on the finite element method and is intended for seniors in engineering and applied science disciplines. The course covers the basic topics of finite element technology, including domain discretization, polynomial interpolation, application of boundary conditions, assembly of global arrays, and solution of the resulting algebraic systems. Finite element formulations for several important field equations are introduced using both direct and integral approaches. Particular emphasis is placed on computer simulation and analysis of realistic engineering problems from solid and fluid mechanics, heat transfer, and electromagnetism. The course uses FEMLAB, a multiphysics MATLAB-based finite element program that possesses a wide array of modeling capabilities and is ideally suited for instruction. Assignments will involve both paper- and computer-based exercises. Computer-based assignments will emphasize the practical aspects of finite element model construction and analysis. Engineering Analysis Using the Finite Element Method"
2239,CIV ENG C138,Flight Vehicle Structures and Aeroelasticity,"This course introduces engineering students to the analysis and design of load-bearing components of flight structures, ranging from subsonic aircraft to rockets. Emphasis is placed on the quasi-static and dynamic analysis of structural components which are prevalent in aerospace engineering. Attention is also devoted to a comprehensive design roadmap of flight vehicle structures from the full system- to the individual component-level Flight Vehicle Structures and Aeroelasticity"
2240,CIV ENG 140,Failure Mechanisms in Civil Engineering Materials,"The failure mechanisms in civil engineering materials (cement-based materials, metallic- and polymer-based materials) are associated with processing, microstructure, stress states, and environmental changes. Fracture mechanics of brittle, quasi-brittle, and ductile materials; cracking processes in monolithic, particulate, and fiber reinforced materials; examples of ductile/brittle failure transitions in civil engineering structures; retrofitting of existing structures; non-destructive techniques for damage detection. Failure Mechanisms in Civil Engineering Materials"
2241,CIV ENG 153,Transportation Facility Design,"A capstone class with the objective to design transportation facilities based on operational capacity, site constraints, and environmental design considerations. Emphasis on airports, including landside and airside elements, and environmental assessment and mitigation techniques. Transportation Facility Design"
2242,CIV ENG 155,Transportation Systems Engineering,"Operation, management, control, design, and evaluation of passenger and freight transportation systems. Their economic role. Demand analysis. Overall logistical structure. Performance models and modeling techniques: time-space diagrams, queuing theory, network analysis, and simulation. Design of control strategies for simple systems. Feedback effects. Paradoxes. Transportation impact modeling; noise; air pollution. Multi-criteria evaluation and decision making. Financing and politics. Transportation Systems Engineering"
2243,CIV ENG 157,Sustainable Aviation and Infrastructure,"The course overviews principles of “green” and “sustainable” aviation and provides analysis methods for evaluating aviation sustainability metrics and measurements. Aircraft operations and airport systems are studied in the context of global warming, aviation noise, local air quality, global emissions, third-party risk, environmental economics and resilience. Models of carbon reduction, and technology and operations alternatives are studied. Future sustainable aviation concepts, such as urban and regional air mobility are introduced and analyzed. Case studies. Sustainable Aviation and Infrastructure"
2244,CIV ENG 160D,Data Science in Aviation,"The course will be centered around analyses of a set of aviation data sets and will enable the students to become familiar with data science applications to aviation. Aviation topics to be covered include fundamentals of air traffic control, models of aviation operations, aircraft trajectory prediction and optimization, data sources in aviation, overview of data science methods, role of data science in solving problems in aviation operations such as conflict detection and resolution, traffic flow management, arrivals management and surface operations, airline operations, fuel efficiency, global aviation. Data Science in Aviation"
2245,CIV ENG 165,"Concrete Materials, Construction, and Sustainability","Concrete materials: cements, supplementary cementitious materials, water, and admixtures. Sustainability analysis of concrete materials and mixtures. Development of special concretes: self-leveling concrete, high-performance concrete, and mass concrete. Consideration of sustainability of concrete construction methods used for buildings, highways, airfields, bridges, dams and other hydraulic structures. Non-destructive methods. Discussion of long-term durability. Comprehensive group projects. Concrete Materials, Construction, and Sustainability"
2246,CIV ENG 166,Construction Engineering,"Introduction to construction engineering and field operations. The construction industry, construction methods and practice, productivity improvement, equipment selection, site layout formwork, erection of steel and concrete structures. Labs demonstrate the concepts covered. Field trips to local construction projects. Construction Engineering"
2247,CIV ENG 167,Engineering Project Management,"Principles of economics, decision making, and law applied to company and project management. Business ownership, liability and insurance, cash flow analysis, and financial management. Project life-cycle, design-construction interface, contracts, estimating, scheduling, cost control. Engineering Project Management"
2248,CIV ENG 170A,Infrastructure Sensing and Modeling,"Introduction to sensing and modeling of infrastructure system; Imagery analysis (point clouds, lidar, structure for motion, satellite); Geophysics (Synthetic-aperture radar analysis, time histories analyses); Sensor systems (distributed fiber optics, wireless sensor network, MEMS, conventional); Structural health monitoring and analysis; Infrastructure network analysis (graph theory, GIS, simulations); entrepreneurship in infrastructure and smart cities industry. Infrastructure Sensing and Modeling"
2249,CIV ENG 171,Rock Mechanics,"Geological and geophysical exploration for structures in rock; properties and behavior of rock masses; rock slope stability; geological engineering of underground openings; evaluation of rock foundations, including dams. Rock Mechanics"
2250,CIV ENG C172,Remote Sensing of the Environment,"The course will introduce junior/senior undergraduate students to the basic physical concepts of remote sensing as they relate to different earth surface processes. It will introduce students to a variety of recently developed ground, airborne, and satellite instruments and their applications to monitor and analyze environmental processes. These include active (e.g., Lidar), and passive (radiometers) sensors, optical (e.g., Landsat, MODIS), microwave (e.g., SMAP), and gravitational (e.g., GRACE) satellites. Remote Sensing of the Environment"
2251,CIV ENG 173,Groundwater and Seepage,"Introduction to principles of groundwater flow, including steady and transient flow through porous media, numerical analysis, pumping tests, groundwater geology, contaminant transport, and design of waste containment systems. Groundwater and Seepage"
2252,CIV ENG 174,Engineering Geomatics,"First 6 Week Session Engineering Geomatics is a field that integrates collections, processing, and analysis of digital geospatial data. This new field is anchored in the established field of geodetics that describes the complex shape of the Earth, elements and usage of topographic data and maps. Basic and advanced GPS satellite mapping. Digital globe technology. Advanced laser-LIDAR mapping. Quantitative terrain modeling, change detection, and analysis. Hydrogeomatics-seafloor mapping. Engineering Geomatics"
2253,CIV ENG 175,Geotechnical and Geoenvironmental Engineering,"Soil formation and identification. Engineering properties of soils. Fundamental aspects of soil characterization and response, including soil mineralogy, soil-water movement, effective stress, consolidation, soil strength, and soil compaction. Use of soils and geosynsynthetics in geotechnical and geoenvironmental applications. Introduction to site investigation techniques. Laboratory testing and evaluation of soil composition and propert ies. Geotechnical and Geoenvironmental Engineering"
2254,CIV ENG 176,Environmental Geotechnics,"Principles of environmental geotechnics applied to waste encapsulation and remediation of contaminated sites. Characterization of soils and wastes, engineering properties of soils and geosynthetics and their use in typical applications. Fate and transport of contaminants. Fundamental principles and practices in groundwater remediation. Application of environmental geotechnics in the design and construction of waste containment systems. Discussion of soil remediation and emerging technologies. Environmental Geotechnics"
2255,CIV ENG C178,Applied Geophysics,"The theory and practice of geophysical methods for determining the subsurface distribution of physical rock and soil properties. Measurements of gravity and magnetic fields, electrical and electromagnetic fields, and seismic velocity are interpreted to map the subsurface distribution of density, magnetic susceptibility, electrical conductivity, and mechanical properties. Applied Geophysics"
2256,CIV ENG 179,Geosystems Engineering Design,"Geosystem engineering design principles and concepts. Fundamental aspects of the geomechanical and geoenvironmental responses of soil are applied to analyze and design civil systems, such as earth dams and levees, earth retention systems, building and bridge foundations, solid-waste fills, and tailings dams. Students form teams to design geotechnical aspects of a civil project and prepare/present a design document. Field trip to a project site . Geosystems Engineering Design"
2257,CIV ENG 180,Life-Cycle Design and Construction,"Course encompasses two design aspects of a civil and environmental engineering system: 1) Design of whole system, component, or life-cycle phase, subject to engineering standards and constraints, and 2) production system design (e.g., cost estimation and control, scheduling, commercial and legal terms, site layout design). Students form teams to address real-life projects and prepare project documentation and a final presentation. Life-Cycle Design and Construction"
2258,CIV ENG 186,Design of Internet-of-Things for Smart Cities,"Hands-on engineering design experience for creating cyber-physical systems, or more colloquially, ""internet-of-things (IoT) systems"" for smart cities. Projects overlay a software layer onto physical infrastructure to produce one integrated system. Student teams will identify a challenge with current urban systems, e.g. mobility, energy & environment, water, waste, health, security, and the built environment. Student teams design and prototype an innovation that addresses this challenge using maker resources, e.g. 3D printing, laser cutters, and open-source electronics. The project will be executing via the ""Design Sprint"" process, which is popular in agile development and Silicon Valley. Students present projects to industry judges. Design of Internet-of-Things for Smart Cities"
2259,CIV ENG 187,Emerging Technologies for Public Health,
2260,CIV ENG 188,Carbon Capture and Storage,"Carbon capture and storage and its role in reducing carbon emissions, Fossil fuels and concentrated emissions sources. Chemistry, physics, and engineering principles of pre and post combustion carbon capture technologies. Principles of underground sequestration. Geology of storage zones, physical and chemical properties of pore fluids. Principles of subsurface CO2 flow. Drilling, wellbore construction, and characterization of deep injection boreholes. Injection and monitoring. Political and socio-economic drivers and constraints for carbon capture and storage. Carbon Capture and Storage"
2261,CIV ENG 190,Special Topics in Civil and Environmental Engineering,This course covers current topics of interest in civil and environmental engineering. The course content may vary from semester to semester depending upon the instructor Special Topics in Civil and Environmental Engineering
2262,CIV ENG 190S,Special Topics in Civil and Environmental Engineering,This course covers current topics of interest in civil and environmental engineering. The course content may vary from semester to semester depending upon the instructor. Special Topics in Civil and Environmental Engineering
2263,CIV ENG 191,Civil and Environmental Engineering Systems Analysis,"This course is organized around five real-world large-scale CEE systems problems. The problems provide the motivation for the study of quantitative tools that are used for planning or managing these systems. The problems include design of a public transportation system for an urban area, resource allocation for the maintenance of a water supply system, development of repair and replacement policies for reinforced concrete bridge decks, traffic signal control for an arterial street, scheduling in a large-scale construction project. Civil and Environmental Engineering Systems Analysis"
2264,CIV ENG 192,The Art and Science of Civil and Environmental Engineering Practice,"A series of lectures by distinguished professionals designed to provide an appreciation of the role of science, technology, and the needs of society in conceiving projects, balancing the interplay of conflicting demands, and utilizing a variety of disciplines to produce unified and efficient systems. The Art and Science of Civil and Environmental Engineering Practice"
2265,CIV ENG 193,Engineering Risk Analysis,"Applications of probability theory and statistics in planning, analysis, and design of civil engineering systems. Development of probabilistic models for risk and reliability evaluation. Occurrence models; extreme value distributions. Analysis of uncertainties. Introduction to Bayesian statistical decision theory and its application in engineering decision-making. Engineering Risk Analysis"
2266,CIV ENG H194,Honors Undergraduate Research,Supervised research. Students who have completed 3 or more upper division courses may pursue original research under the direction of one of the members of the staff. A final report or presentation is required. A maximum of 4 units of H194 may be used to fulfill the technical elective requirement. Honors Undergraduate Research
2267,CIV ENG 197,Field Studies in Civil Engineering,Supervised experience in off-campus companies or tutoring/mentoring relevant to specific aspects and applications of civil engineering on or off campus. Written report required at the end of the semester. Field Studies in Civil Engineering
2268,CIV ENG 198,Directed Group Study for Advanced Undergraduates,Group study of a selected topic or topics in civil engineering. Directed Group Study for Advanced Undergraduates
2269,CIV ENG 199,Supervised Independent Study,Supervised independent study. Supervised Independent Study
2270,CIV ENG 200A,Environmental Fluid Mechanics I,"Fundamental fluid mechanics with application to the environment. Analytical solutions and numerical modeling of advection-diffusion and Navier-Stokes equations, with a focus on understanding both the numerical techniques needed to predict environmental flow and transport and the underlying physical processes described by the mathematical equations. Fluid kinematics, scalar transport, numerical error and stability analysis, scaling analysis, channel flows, Stokes flows, and introduction to turbulence. Environmental Fluid Mechanics I"
2271,CIV ENG 200B,Environmental Fluid Mechanics II,"Fundamental fluid mechanics with application to the environment, including turbulent channel flows and boundary layers, surface waves, and sediment transport. Turbulence modeling and development of analytical and numerical solutions for the equations governing flow and transport in the environment. Scaling analysis and numerical techniques applied to examples from surface water and atmospheric flows. Environmental Fluid Mechanics II"
2272,CIV ENG 200C,Transport and Mixing in the Environment,"Application of fluid mechanics to transport and mixing in the environment. Fundamentals of turbulence, turbulent diffusion, and shear dispersion in steady and oscillatory flows and the effects of stratification. Application to rivers, wetlands, lakes, estuaries, the coastal ocean, and the lower atmosphere. Transport and Mixing in the Environment"
2273,CIV ENG 202A,Vadose Zone Hydrology,"Course addresses fundamental and practical issues in flow and transport phenomena in the vadose zone, which is the geologic media between the land surface and the regional water table. A theoretical framework for modeling these phenomena will be presented, followed by applications in the areas of ecology, drainage and irrigation, and contaminant transport. Hands-on applications using numerical modeling and analysis of real-life problems and field experiments will be emphasized. Vadose Zone Hydrology"
2274,CIV ENG 203N,Surface Water Hydrology,"Course addresses topics of surface water hydrology, such as processes of water in the atmosphere, over land surface, and within soil; advanced representation and models for infiltration and evapotranspiration processes; partition of water and energy budgets at the land surface; snow and snowmelt processes; applications of remote sensing; flood and drought, and issues related to advanced hydrological modeling. Students will address practical problems and will learn how to use the current operational hydrologic forecasting model, and build hydrological models. Surface Water Hydrology"
2275,CIV ENG 204,Planetary Boundaries and the Anthropocene,"This course aims to introduce students to the debates and discussions about the impact of increasing human resource consumption, increasing population, and increasing human prosperity on the planet’s environmental systems that support human societies. Planetary Boundaries and the Anthropocene"
2276,CIV ENG 205B,Margins of Quality for Engineered Systems,"Processes and procedures to define and determine the demands and capacities of the structures and hardware elements of engineered systems during their life-cycles: margins of quality. The objective of this course is to provide students with the knowledge and skills to define and evaluate system demands, capacities, and reliabiltity targets to be used in design, requalification, construction, operation, maintenance, and decommissioning of engineered systems. Margins of Quality for Engineered Systems"
2277,CIV ENG 206,Water Resources Management,"The course provides a framework to address contemporary water-resources problems, and to achieve water security for local areas and broader regions. Students will become aware of critical water-resources issues at local, national and global scales, and learn to formulate solutions for water-resources problems using engineering, natural-science and social-science tools. The main focus is on California and the Western United States, with comparative analysis for other regions. Water Resources Management"
2278,CIV ENG 209,Design for Sustainable Communities,"This course provides conceptual and hands-on experience in design and implementation of innovative products or processes for improving the sustainability of resource-constrained communities (mostly poor ones in the developing countries). Teams of students will take on practical projects, with guidance from subject experts. Design for Sustainable Communities"
2279,CIV ENG 210,Control of Water-Related Pathogens,"Comprehensive strategies for the assessment and control of water-related human pathogens (disease-causing microorganisms). Transmission routes and life cycles of common and emerging organisms, conventional and new detection methods (based on molecular techniques), human and animal sources, fate and transport in the environment, treatment and disinfection, appropriate technology, regulatory approaches, water reuse. Control of Water-Related Pathogens"
2280,CIV ENG 211A,Water Quality Engineering,"The fundamental concepts of physical, chemical, and microbiological processes that affect water quality in natural and engineered environmental systems. Focus is on developing a qualitative understanding of mechanisms as well as quantitative tools to describe, predict, and control the processes that effect water quality. The class consists of three main parts: (1) Physical Processes: mass balance, chemical kinetics, reactor hydraulics, reactor models; (2) Biological processes: microbiological principles, pathogens, and microbial transformations; (3) Chemical contaminants: properties, partitioning and reactivity. Water Quality Engineering"
2281,CIV ENG 211B,Environmental Biological Processes,"Fundamental concepts of biological processes that are important in natural and engineered environmental systems, especially those affecting water quality. Incorporates basic fundamentals of microbiology into a quantifiable engineering context to describe, predict, and control behavior of environmental biological systems. Topics include the stoichiometry, energetics and kinetics of microbial reactions, suspended and biofilm processes, carbon and nutrient cycling, and bioremediation applications. Environmental Biological Processes"
2282,CIV ENG 213,Watersheds and Water Quality,"Overview of approaches used by engineers to preserve or improve water quality at the watershed scale. Characterization and modeling of nutrients, metals, and organic contaminants in watersheds. Application of ecosystem modification and pollutant trading to enhance water quality. The course emphasizes recent case studies and interdisciplinary approaches for solving water quality problems. Watersheds and Water Quality"
